Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
MCX,mcx_fo,CRUDEOIL,246240,OPTFUT,CE,8900,CRUDEOIL22NOV8900CE,CRUDEOIL22NOV8900CE,CRUDEOIL 16NOV22 8900 CE,2022-11-16,100,0.1
MCX,mcx_fo,CRUDEOIL,246241,OPTFUT,PE,8900,CRUDEOIL22NOV8900PE,CRUDEOIL22NOV8900PE,CRUDEOIL 16NOV22 8900 PE,2022-11-16,100,0.1
MCX,mcx_fo,CRUDEOIL,246242,OPTFUT,CE,8950,CRUDEOIL22NOV8950CE,CRUDEOIL22NOV8950CE,CRUDEOIL 16NOV22 8950 CE,2022-11-16,100,0.1
MCX,mcx_fo,CRUDEOIL,246243,OPTFUT,PE,8950,CRUDEOIL22NOV8950PE,CRUDEOIL22NOV8950PE,CRUDEOIL 16NOV22 8950 PE,2022-11-16,100,0.1
MCX,mcx_fo,CRUDEOIL,246244,OPTFUT,CE,9000,CRUDEOIL22NOV9000CE,CRUDEOIL22NOV9000CE,CRUDEOIL 16NOV22 9000 CE,2022-11-16,100,0.1
MCX,mcx_fo,CRUDEOIL,246245,OPTFUT,PE,9000,CRUDEOIL22NOV9000PE,CRUDEOIL22NOV9000PE,CRUDEOIL 16NOV22 9000 PE,2022-11-16,100,0.1
MCX,mcx_fo,CRUDEOIL,246246,OPTFUT,CE,9050,CRUDEOIL22NOV9050CE,CRUDEOIL22NOV9050CE,CRUDEOIL 16NOV22 9050 CE,2022-11-16,100,0.1
MCX,mcx_fo,CRUDEOIL,246247,OPTFUT,PE,9050,CRUDEOIL22NOV9050PE,CRUDEOIL22NOV9050PE,CRUDEOIL 16NOV22 9050 PE,2022-11-16,100,0.1
MCX,mcx_fo,CRUDEOIL,246248,OPTFUT,CE,9100,CRUDEOIL22NOV9100CE,CRUDEOIL22NOV9100CE,CRUDEOIL 16NOV22 9100 CE,2022-11-16,100,0.1
MCX,mcx_fo,CRUDEOIL,246249,OPTFUT,PE,9100,CRUDEOIL22NOV9100PE,CRUDEOIL22NOV9100PE,CRUDEOIL 16NOV22 9100 PE,2022-11-16,100,0.1
