id,Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
1088,CDS,cde_fo,GBPINR,2250,OPTCUR,CE,87.75,GBPINR29MARCH2387.75CE,GBPINR23MAR87.75CE,GBPINR 29MAR23 87.75 CE,29-03-2023,1,0.0025
1089,CDS,cde_fo,GBPINR,2251,OPTCUR,PE,87.75,GBPINR29MARCH2387.75PE,GBPINR23MAR87.75PE,GBPINR 29MAR23 87.75 PE,29-03-2023,1,0.0025
1090,CDS,cde_fo,JPYINR,2252,OPTCUR,CE,58.5,JPYINR16DECEMBER2258.5CE,JPYINR22D58.5CE,JPYINR 16DEC22 58.5 CE,16-12-2022,1,0.0025
1091,CDS,cde_fo,EURINR,2253,OPTCUR,PE,85.5,EURINR27OCTOBER2285.5PE,EURINR22OCT85.5PE,EURINR 27OCT22 85.5 PE,27-10-2022,1,0.0025
1092,CDS,cde_fo,EURINR,2254,OPTCUR,CE,85.75,EURINR27OCTOBER2285.75CE,EURINR22OCT85.75CE,EURINR 27OCT22 85.75 CE,27-10-2022,1,0.0025
1093,CDS,cde_fo,EURINR,2255,OPTCUR,PE,85.75,EURINR27OCTOBER2285.75PE,EURINR22OCT85.75PE,EURINR 27OCT22 85.75 PE,27-10-2022,1,0.0025
1094,CDS,cde_fo,EURINR,2256,OPTCUR,CE,86,EURINR27OCTOBER2286CE,EURINR22OCT86CE,EURINR 27OCT22 86 CE,27-10-2022,1,0.0025
1095,CDS,cde_fo,JPYINR,2257,OPTCUR,CE,65.5,JPYINR21OCTOBER2265.5CE,JPYINR22O65.5CE,JPYINR 21OCT22 65.5 CE,21-10-2022,1,0.0025
1096,CDS,cde_fo,JPYINR,2258,OPTCUR,PE,65.5,JPYINR21OCTOBER2265.5PE,JPYINR22O65.5PE,JPYINR 21OCT22 65.5 PE,21-10-2022,1,0.0025
1097,CDS,cde_fo,JPYINR,2259,OPTCUR,PE,58.5,JPYINR16DECEMBER2258.5PE,JPYINR22D58.5PE,JPYINR 16DEC22 58.5 PE,16-12-2022,1,0.0025
1098,CDS,cde_fo,JPYINR,2260,OPTCUR,CE,65,JPYINR27OCTOBER2265CE,JPYINR22OCT65CE,JPYINR 27OCT22 65 CE,27-10-2022,1,0.0025
1099,CDS,cde_fo,JPYINR,2262,OPTCUR,CE,58.75,JPYINR16DECEMBER2258.75CE,JPYINR22D58.75CE,JPYINR 16DEC22 58.75 CE,16-12-2022,1,0.0025
1100,CDS,cde_fo,JPYINR,2263,OPTCUR,PE,58.75,JPYINR16DECEMBER2258.75PE,JPYINR22D58.75PE,JPYINR 16DEC22 58.75 PE,16-12-2022,1,0.0025
1101,CDS,cde_fo,JPYINR,2265,OPTCUR,PE,65,JPYINR27OCTOBER2265PE,JPYINR22OCT65PE,JPYINR 27OCT22 65 PE,27-10-2022,1,0.0025
1102,CDS,cde_fo,JPYINR,2267,OPTCUR,CE,65.25,JPYINR27OCTOBER2265.25CE,JPYINR22OCT65.25CE,JPYINR 27OCT22 65.25 CE,27-10-2022,1,0.0025
1103,CDS,cde_fo,JPYINR,2268,OPTCUR,PE,65.25,JPYINR27OCTOBER2265.25PE,JPYINR22OCT65.25PE,JPYINR 27OCT22 65.25 PE,27-10-2022,1,0.0025
1104,CDS,cde_fo,JPYINR,2269,OPTCUR,CE,65.5,JPYINR27OCTOBER2265.5CE,JPYINR22OCT65.5CE,JPYINR 27OCT22 65.5 CE,27-10-2022,1,0.0025
1105,CDS,cde_fo,JPYINR,2270,OPTCUR,PE,65.5,JPYINR27OCTOBER2265.5PE,JPYINR22OCT65.5PE,JPYINR 27OCT22 65.5 PE,27-10-2022,1,0.0025
1106,CDS,cde_fo,JPYINR,2271,OPTCUR,CE,59,JPYINR16DECEMBER2259CE,JPYINR22D59CE,JPYINR 16DEC22 59 CE,16-12-2022,1,0.0025
1107,CDS,cde_fo,JPYINR,2272,OPTCUR,PE,59,JPYINR16DECEMBER2259PE,JPYINR22D59PE,JPYINR 16DEC22 59 PE,16-12-2022,1,0.0025
1108,CDS,cde_fo,EURINR,2273,OPTCUR,PE,86,EURINR27OCTOBER2286PE,EURINR22OCT86PE,EURINR 27OCT22 86 PE,27-10-2022,1,0.0025
1109,CDS,cde_fo,EURINR,2274,OPTCUR,CE,86.25,EURINR27OCTOBER2286.25CE,EURINR22OCT86.25CE,EURINR 27OCT22 86.25 CE,27-10-2022,1,0.0025
1110,CDS,cde_fo,GBPINR,2275,OPTCUR,CE,87.5,GBPINR28JUNE2387.5CE,GBPINR23JUN87.5CE,GBPINR 28JUN23 87.5 CE,28-06-2023,1,0.0025
1111,CDS,cde_fo,GBPINR,2276,OPTCUR,PE,87.5,GBPINR28JUNE2387.5PE,GBPINR23JUN87.5PE,GBPINR 28JUN23 87.5 PE,28-06-2023,1,0.0025
1112,CDS,cde_fo,GBPINR,2277,OPTCUR,CE,82.25,GBPINR27OCTOBER2282.25CE,GBPINR22OCT82.25CE,GBPINR 27OCT22 82.25 CE,27-10-2022,1,0.0025
1113,CDS,cde_fo,GBPINR,2278,OPTCUR,PE,82.25,GBPINR27OCTOBER2282.25PE,GBPINR22OCT82.25PE,GBPINR 27OCT22 82.25 PE,27-10-2022,1,0.0025
1114,CDS,cde_fo,EURINR,2279,OPTCUR,CE,88.5,EURINR28JUNE2388.5CE,EURINR23JUN88.5CE,EURINR 28JUN23 88.5 CE,28-06-2023,1,0.0025
1115,CDS,cde_fo,EURINR,2280,OPTCUR,PE,88.5,EURINR28JUNE2388.5PE,EURINR23JUN88.5PE,EURINR 28JUN23 88.5 PE,28-06-2023,1,0.0025
1116,CDS,cde_fo,GBPINR,2281,OPTCUR,CE,82.5,GBPINR27OCTOBER2282.5CE,GBPINR22OCT82.5CE,GBPINR 27OCT22 82.5 CE,27-10-2022,1,0.0025
